"Word","frequency"
"i hope that",11
"i just cant",11
"i look at",11
"i made a",11
"i made it",11
"i mean i",11
"i said i",11
"i think he",11
"i think they",11
"i want some",11
"i was like",11
"i was trying",11
"i wonder what",11
"if you had",11
"if you like",11
"if you think",11
"if youre a",11
"if youre in",11
"im so glad",11
"in a small",11
"in charge of",11
"in new jersey",11
"in search of",11
"in the event",11
"in the kitchen",11
"in the race",11
"in the uk",11
"is a big",11
"is a bit",11
"is accused of",11
"is it that",11
"is the new",11
"is the same",11
"it looked like",11
"it might be",11
"it must be",11
"it when i",11
"its easy to",11
"its gonna be",11
"just got a",11
"know what you",11
"me i love",11
"might as well",11
"more or less",11
"more than two",11
"much as the",11
"new years eve",11
"not at all",11
"not only the",11
"not so much",11
"not the only",11
"of course i",11
"of course the",11
"of it and",11
"of my friends",11
"of new york",11
"of one of",11
"of the school",11
"of the three",11
"of what we",11
"off to the",11
"on the bus",11
"on the site",11
"one of her",11
"one or two",11
"or you can",11
"out of town",11
"out with a",11
"over the top",11
"over the world",11
"part of our",11
"pay for the",11
"point of view",11
"quite a bit",11
"return to the",11
"right now i",11
"said of the",11
"see what happens",11
"seems to have",11
"she said the",11
"she was a",11
"since it was",11
"size of the",11
"so i was",11
"so much of",11
"some of your",11
"some sort of",11
"soon as i",11
"spent the last",11
"stay tuned for",11
"still have a",11
"such a great",11
"tell you that",11
"thanks to everyone",11
"that have been",11
"that he will",11
"that is why",11
"that of the",11
"that should be",11
"that some of",11
"that this was",11
"the best i",11
"the book of",11
"the federal government",11
"the front of",11
"the future of",11
"the head of",11
"the impact of",11
"the lives of",11
"the locker room",11
"the loss of",11
"the names of",11
"the nature of",11
"the only reason",11
"the past couple",11
"the person who",11
"the second time",11
"the sound of",11
"the th century",11
"the thought of",11
"the time he",11
"the us and",11
"the way it",11
"the world to",11
"them in a",11
"there are other",11
"there were no",11
"they are a",11
"they are in",11
"think i have",11
"think it is",11
"this week in",11
"this would be",11
"this year and",11
"this year the",11
"time to go",11
"to an end",11
"to be as",11
"to be at",11
"to be here",11
"to be honest",11
"to do some",11
"to go in",11
"to go on",11
"to have been",11
"to hear from",11
"to hear that",11
"to look like",11
"to new york",11
"to show you",11
"to the people",11
"to the same",11
"to try and",11
"to work in",11
"two or three",11
"up and down",11
"up to you",11
"us in the",11
"value of the",11
"vice president of",11
"view of the",11
"want me to",11
"want to give",11
"was a big",11
"was the only",11
"way to start",11
"we are not",11
"we can do",11
"we can have",11
"we cant wait",11
"we got to",11
"what did you",11
"what happens when",11
"what you are",11
"when i am",11
"when she was",11
"when they are",11
"when we were",11
"who want to",11
"why am i",11
"will be more",11
"will need to",11
"with a little",11
"with a new",11
"with all of",11
"with lots of",11
"with some of",11
"work on the",11
"would have a",11
"yes i am",11
"yes it is",11
"you dont like",11
"you follow me",11
"you give me",11
"you know it",11
"you know who",11
"you think of",11
"you to the",11
"a bit and",10
"a good friend",10
"a great deal",10
"a hint of",10
"a new one",10
"a news conference",10
"a very good",10
"a very happy",10
"a woman who",10
"a year and",10
"a year old",10
"access to the",10
"according to court",10
"ahead of the",10
"all i want",10
"along with the",10
"am i going",10
"an opportunity to",10
"and as i",10
"and get a",10
"and has a",10
"and i thought",10
"and if i",10
"and is a",10
"and over again",10
"and thanks for",10
"and that was",10
"and the most",10
"and there are",10
"and they were",10
"and try to",10
"and we can",10
"and when i",10
"and you have",10
"any kind of",10
"are a lot",10
"are having a",10
"are the most",10
"around the corner",10
"as for the",10
"as i do",10
"as i was",10
"at the airport",10
"at the next",10
"at this time",10
"author of the",10
"be a lot",10
"be back in",10
"be interested in",10
"be used to",10
"because i didnt",10
"because i was",10
"because of his",10
"because there is",10
"been in a",10
"before going to",10
"being in the",10
"black and white",10
"both sides of",10
"but i can",10
"but i got",10
"but i love",10
"but i will",10
"but it didnt",10
"by the state",10
"can only be",10
"cost of the",10
"could not be",10
"decided to make",10
"details of the",10
"did you get",10
"do you need",10
"earlier this week",10
"end up with",10
"enough to be",10
"excited about the",10
"feel like a",10
"figure out what",10
"find out what",10
"first half of",10
"first of all",10
"follow me please",10
"for a run",10
"for several years",10
"for that matter",10
"for the retweet",10
"for them to",10
"four or five",10
"from the top",10
"from the university",10
"get in the",10
"get up and",10
"glad you enjoyed",10
"glad you like",10
"go for a",10
"go out and",10
"go out to",10
"going to make",10
"good to be",10
"good to hear",10
"good to see",10
"got a new",10
"gov chris christie",10
"grew up in",10
"had to go",10
"had to say",10
"has more than",10
"has to do",10
"have had a",10
"have to wait",10
"have to work",10
"having a good",10
"having a great",10
"he had to",10
"he said and",10
"he would not",10
"headed to the",10
"here in the",10
"hes going to",10
"hope you have",10
"how can i",10
"how do i",10
"how many times",10
"how to do",10
"how to use",10
"husband and i",10
"i am happy",10
"i believe in",10
"i believe that",10
"i bet you",10
"i cant remember",10
"i could do",10
"i dont believe",10
"i dont need",10
"i found out",10
"i found this",10
"i going to",10
"i got my",10
"i have had",10
"i have so",10
"i hope i",10
"i just hope",10
"i knew i",10
"i love him",10
"i miss my",10
"i miss the",10
"i really dont",10
"i really wish",10
"i saw a",10
"i saw it",10
"i saw the",10
"i say that",10
"i should have",10
"i was hoping",10
"i was the",10
"i watched the",10
"if i dont",10
"if there was",10
"if we dont",10
"in and out",10
"in for a",10
"in some cases",10
"in the moment",10
"in the name",10
"in the park",10
"in the previous",10
"in the rain",10
"in the room",10
"in the studio",10
"in with the",10
"is better than",10
"is coming to",10
"is hard to",10
"is just the",10
"is likely to",10
"is not only",10
"is that it",10
"is the one",10
"is to have",10
"issued a statement",10
"it for me",10
"it is i",10
"it is possible",10
"it or not",10
"it was great",10
"it was like",10
"it would have",10
"its important to",10
"its up to",10
"ive been working",10
"just had a",10
"just had to",10
"just in case",10
"just need to",10
"just trying to",10
"know how i",10
"last time i",10
"late in the",10
"life in the",10
"like i said",10
"like i was",10
"listen to the",10
"los angeles times",10
"lot of time",10
"martin luther king",10
"may be a",10
"may be the",10
"me i will",10
"me in the",10
"me know when",10
"me to be",10
"me to do",10
"men and women",10
"more than half",10
"more time to",10
"most of my",10
"much of a",10
"my life i",10
"name of the",10
"next to the",10
"no more than",10
"no one is",10
"no reason to",10
"now and then",10
"of it is",10
"of the box",10
"of the lord",10
"of the many",10
"of the national",10
"of the reasons",10
"of those who",10
"of what the",10
"off to a",10
"on the couch",10
"on the job",10
"on the plane",10
"on their own",10
"one thing i",10
"only one who",10
"or if you",10
"outside of the",10
"over the course",10
"past couple of",10
"people at the",10
"percent in the",10
"person in the",10
"pleaded guilty to",10
"s and s",10
"said he had",10
"said it is",10
"see if i",10
"see you in",10
"seem to have",10
"share with you",10
"she had a",10
"she said she",10
"shot in the",10
"sign up for",10
"so excited for",10
"so much better",10
"so that i",10
"so that the",10
"so that we",10
"some of it",10
"some of our",10
"st patricks day",10
"still trying to",10
"talk about it",10
"than i am",10
"thanks for all",10
"that can be",10
"that i havent",10
"that i just",10
"that i should",10
"that it would",10
"that no one",10
"that she is",10
"that you cant",10
"the answer is",10
"the center for",10
"the decision to",10
"the door to",10
"the game and",10
"the grocery store",10
"the list of",10
"the obama administration",10
"the one with",10
"the past months",10
"the past year",10
"the possibility of",10
"the presence of",10
"the question of",10
"the supreme court",10
"the th annual",10
"the time they",10
"the title of",10
"the way for",10
"them as a",10
"them to be",10
"them to the",10
"there has been",10
"there is always",10
"there is nothing",10
"there is the",10
"they should be",10
"they were going",10
"think i will",10
"this and i",10
"this is how",10
"this is why",10
"this time around",10
"this week and",10
"those of us",10
"time of the",10
"time to make",10
"to a report",10
"to be like",10
"to be one",10
"to begin with",10
"to catch up",10
"to each other",10
"to get off",10
"to give up",10
"to have my",10
"to help with",10
"to him and",10
"to hit the",10
"to know i",10
"to know the",10
"to know what",10
"to me i",10
"to prevent the",10
"to share with",10
"to take it",10
"to take on",10
"to the house",10
"to the us",10
"to this report",10
"to watch a",10
"to you too",10
"tonight at the",10
"too much time",10
"try to get",10
"trying to figure",10
"up in a",10
"used in the",10
"wants to be",10
"was about to",10
"was charged with",10
"was supposed to",10
"was the best",10
"water from the",10
"way through the",10
"we all have",10
"we would love",10
"well as a",10
"went back to",10
"were supposed to",10
"what i can",10
"what i do",10
"what they do",10
"what to expect",10
"what we have",10
"when i got",10
"when it is",10
"when you do",10
"which has been",10
"who has a",10
"will be held",10
"will you be",10
"winner of the",10
"wish we could",10
"with each other",10
"with salt and",10
"working on the",10
"worried about the",10
"years ago i",10
"years old and",10
"yes yes yes",10
"you can use",10
"you for being",10
"you have the",10
"you live in",10
"you please follow",10
"you see the",10
"you tell me",10
"you thank you",10
"you to be",10
